ST,Seat Name En,Ts Pcode
Ayeyarwady,Dedaye Constituency,MMR017026
Ayeyarwady,Kyaiklat Constituency,MMR017025
Ayeyarwady,Bogale Constituency,MMR017024
Ayeyarwady,Pyapon Constituency,MMR017023
Ayeyarwady,Danubyu Constituency,MMR017022
Ayeyarwady,Nyaungdon Constituency,MMR017021
Ayeyarwady,Pantanaw Constituency,MMR017020
Ayeyarwady,Maubin Constituency,MMR017019
Ayeyarwady,Mawlamyinegyun Constituency,MMR017018
Ayeyarwady,Wakema Constituency,MMR017017
Ayeyarwady,Labutta Constituency,MMR017016
Ayeyarwady,Einme Constituency,MMR017015
Ayeyarwady,Myaungmya Constituency,MMR017014
Ayeyarwady,Ingapu Constituency,MMR017013
Ayeyarwady,Kyangin Constituency,MMR017012
Ayeyarwady,Myanaung Constituency,MMR017011
Ayeyarwady,Lemyethna Constituency,MMR017010
Ayeyarwady,Zalun Constituency,MMR017009
Ayeyarwady,Hinthada Constituency,MMR017008
Ayeyarwady,Kyaunggon Constituency,MMR017007
Ayeyarwady,Yegyi Constituency,MMR017006
Ayeyarwady,Kyonpyaw Constituency,MMR017005
Ayeyarwady,Ngapudaw Constituency,MMR017004
Ayeyarwady,Thabaung Constituency,MMR017003
Ayeyarwady,Kangyidaunt Constituency,MMR017002
Ayeyarwady,Pathein Constituency,MMR017001
Bago (East),Htantabin Constituency,MMR007014
Bago (East),Oktwin Constituency,MMR007013
Bago (East),Phyu Constituency,MMR007012
Bago (East),Kyaukkyi Constituency,MMR007011
Bago (East),Yedashe Constituency,MMR007010
Bago (East),Taungoo Constituency,MMR007009
Bago (East),Shwegyin Constituency,MMR007008
Bago (East),Daik-U Constituency,MMR007007
Bago (East),Kyauktaga Constituency,MMR007006
Bago (East),Nyaunglebin Constituency,MMR007005
Bago (East),Waw Constituency,MMR007004
Bago (East),Kawa Constituency,MMR007003
Bago (East),Thanatpin Constituency,MMR007002
Bago (East),Bago Constituency,MMR007001
Bago (West),Gyobingauk Constituency,MMR008014
Bago (West),Monyo Constituency,MMR008013
Bago (West),Nattalin Constituency,MMR008012
Bago (West),Zigon Constituency,MMR008011
Bago (West),Okpho Constituency,MMR008010
Bago (West),Minhla Constituency,MMR008009
Bago (West),Letpadan Constituency,MMR008008
Bago (West),Thayarwady Constituency,MMR008007
Bago (West),Shwedaung Constituency,MMR008006
Bago (West),Thegon Constituency,MMR008005
Bago (West),Paungde Constituency,MMR008004
Bago (West),Padaung Constituency,MMR008003
Bago (West),Paukkhaung Constituency,MMR008002
Bago (West),Pyay Constituency,MMR008001
Chin,Paletwa Constituency,MMR004009
Chin,Kanpetlet Constituency,MMR004008
Chin,Matupi Constituency,MMR004007
