ST,Seat Name Mm,_Id (Hluttawseats.Csv),Party Name Pretty Mm,Uec Party Id,% of Total Valid Total Votes
Ayeyarwady,အိမ်မဲ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b674,ကရင်ပြည်သူ့ပါတီ,5f3f9035c749de0ddc9de035,4.943007344%
Ayeyarwady,အိမ်မဲ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b674,ကရင်အမျိုးသားပါတီ,5f3f9035c749de0ddc9de07a,3.195961323%
Ayeyarwady,အိမ်မဲ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b674,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,6.145467916%
Ayeyarwady,အိမ်မဲ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b674,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,40.472239061%
Ayeyarwady,အိမ်မဲ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b674,မြန်မာနိုင်ငံတောင်သူလယ်သမားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,5f3f9035c749de0ddc9de069,3.675951782%
Ayeyarwady,အိမ်မဲ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b674,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,5f3f9035c749de0ddc9de05b,41.567372574%
Ayeyarwady,အင်္ဂပူ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b672,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,44.715540899%
Ayeyarwady,အင်္ဂပူ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b672,မြန်မာနိုင်ငံတောင်သူလယ်သမားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,5f3f9035c749de0ddc9de069,3.185511458%
Ayeyarwady,အင်္ဂပူ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b672,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,5f3f9035c749de0ddc9de05b,52.098947644%
Ayeyarwady,ဟင်္သာတ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b66d,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,1.422483468%
Ayeyarwady,ဟင်္သာတ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b66d,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,36.064168504%
Ayeyarwady,ဟင်္သာတ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b66d,မြန်မာနိုင်ငံတောင်သူလယ်သမားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,5f3f9035c749de0ddc9de069,1.562086701%
Ayeyarwady,ဟင်္သာတ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b66d,အမျိုးသားတိုးတက်ရေးပါတီ,5f3f9035c749de0ddc9de08b,1.915258388%
Ayeyarwady,ဟင်္သာတ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b66d,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,5f3f9035c749de0ddc9de05b,59.036002939%
Ayeyarwady,သာပေါင်း မဲဆန္ဒနယ်,5f3f901b97d7fe284063b668,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,5.419042640%
Ayeyarwady,သာပေါင်း မဲဆန္ဒနယ်,5f3f901b97d7fe284063b668,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,38.143640498%
Ayeyarwady,သာပေါင်း မဲဆန္ဒနယ်,5f3f901b97d7fe284063b668,မြန်မာနိုင်ငံတောင်သူလယ်သမားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,5f3f9035c749de0ddc9de069,3.721716294%
Ayeyarwady,သာပေါင်း မဲဆန္ဒနယ်,5f3f901b97d7fe284063b668,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,5f3f9035c749de0ddc9de05b,52.715600569%
Ayeyarwady,ဝါးခယ်မ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b675,ကရင်ပြည်သူ့ပါတီ,5f3f9035c749de0ddc9de035,5.169367593%
Ayeyarwady,ဝါးခယ်မ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b675,ခေတ်သစ်ပြည်သူ့ပါတီ,5f3f9035c749de0ddc9de043,1.214258773%
Ayeyarwady,ဝါးခယ်မ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b675,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,5.721243242%
Ayeyarwady,ဝါးခယ်မ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b675,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,37.880241661%
Ayeyarwady,ဝါးခယ်မ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b675,မြန်မာနိုင်ငံတောင်သူလယ်သမားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,5f3f9035c749de0ddc9de069,3.933272014%
Ayeyarwady,ဝါးခယ်မ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b675,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,5f3f9035c749de0ddc9de05b,46.081616718%
Ayeyarwady,လေးမျက်နှာ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b66f,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,1.876024719%
Ayeyarwady,လေးမျက်နှာ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b66f,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,39.068608904%
Ayeyarwady,လေးမျက်နှာ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b66f,မြန်မာနိုင်ငံတောင်သူလယ်သမားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,5f3f9035c749de0ddc9de069,2.724177072%
Ayeyarwady,လေးမျက်နှာ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b66f,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,5f3f9035c749de0ddc9de05b,56.331189305%
Ayeyarwady,လပွတ္တာ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b676,ကရင်ပြည်သူ့ပါတီ,5f3f9035c749de0ddc9de035,1.896591929%
Ayeyarwady,လပွတ္တာ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b676,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,3.600980801%
Ayeyarwady,လပွတ္တာ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b676,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,34.579591145%
Ayeyarwady,လပွတ္တာ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b676,မြန်မာနိုင်ငံတောင်သူလယ်သမားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,5f3f9035c749de0ddc9de069,2.733240529%
