Seat Name En,Party Name Pretty En,Uec Id (Parties.Csv),% of Total Valid Total Votes
Tonzang Constituency 2,Zomi Congress for Democracy,5f3f9035c749de0ddc9de067,54.426229508%
Tonzang Constituency 1,Zomi Congress for Democracy,5f3f9035c749de0ddc9de067,15.625911876%
Tedim Constituency 2,Zomi Congress for Democracy,5f3f9035c749de0ddc9de067,27.603431426%
Tedim Constituency 1,Zomi Congress for Democracy,5f3f9035c749de0ddc9de067,36.787593161%
Hakha Constituency 2,Zomi Congress for Democracy,5f3f9035c749de0ddc9de067,1.335484449%
Tonzang Constituency 1,Zo National Region Development Party,5f3f9035c749de0ddc9de08a,6.871899621%
Tedim Constituency 1,Zo National Region Development Party,5f3f9035c749de0ddc9de08a,2.789346778%
Tamu Constituency 2,Zo National Region Development Party,5f3f9035c749de0ddc9de08a,4.027820575%
Kale Constituency 2,Zo National Region Development Party,5f3f9035c749de0ddc9de08a,1.145812345%
Mahaaungmyay Constituency 2,Wunthanu NLD (The Union Of Myanmar),5f3f9035c749de0ddc9de042,0.317644953%
Aungmyaythazan Constituency 1,Wunthanu NLD (The Union Of Myanmar),5f3f9035c749de0ddc9de042,0.237628184%
Mahaaungmyay Constituency 2,Wun Thar Nu Democratic Party,5f3f9035c749de0ddc9de042,0.317644953%
Mahaaungmyay Constituency 1,Wun Thar Nu Democratic Party,5f3f9035c749de0ddc9de042,1.732061565%
Aungmyaythazan Constituency 2,Wun Thar Nu Democratic Party,5f3f9035c749de0ddc9de042,4.357496714%
Aungmyaythazan Constituency 1,Wun Thar Nu Democratic Party,5f3f9035c749de0ddc9de042,0.237628184%
Tangyan Constituency 2,Wa National Unity Party,5f3f9035c749de0ddc9de036,3.942052642%
Tangyan Constituency 1,Wa National Unity Party,5f3f9035c749de0ddc9de036,7.285433919%
Monghsat Constituency 2,Wa National Unity Party,5f3f9035c749de0ddc9de036,15.239154616%
Monghsat Constituency 1,Wa National Unity Party,5f3f9035c749de0ddc9de036,23.855536195%
Matman Constituency 2,Wa National Unity Party,5f3f9035c749de0ddc9de036,17.386126823%
Matman Constituency 1,Wa National Unity Party,5f3f9035c749de0ddc9de036,54.746899776%
Kengtung Constituency 2,Wa National Unity Party,5f3f9035c749de0ddc9de036,2.628050416%
Kengtung Constituency 1,Wa National Unity Party,5f3f9035c749de0ddc9de036,2.414407283%
Hopang Constituency 2,Wa National Unity Party,5f3f9035c749de0ddc9de036,21.555333998%
Hopang Constituency 1,Wa National Unity Party,5f3f9035c749de0ddc9de036,14.416135881%
Tangyan Constituency 2,Wa Democratic Party,5f3f9035c749de0ddc9de049,1.677208733%
Tangyan Constituency 1,Wa Democratic Party,5f3f9035c749de0ddc9de049,1.957780863%
Matman Constituency 2,Wa Democratic Party,5f3f9035c749de0ddc9de049,26.942542423%
Matman Constituency 1,Wa Democratic Party,5f3f9035c749de0ddc9de049,17.869485668%
Hopang Constituency 2,Wa Democratic Party,5f3f9035c749de0ddc9de049,69.870388833%
Hopang Constituency 1,Wa Democratic Party,5f3f9035c749de0ddc9de049,70.891719745%
Momauk Constituency 2,Unity and Democracy Party of Kachin State,5f3f9035c749de0ddc9de054,2.117041395%
Momauk Constituency 1,Unity and Democracy Party of Kachin State,5f3f9035c749de0ddc9de054,8.271949034%
Mansi Constituency 2,Unity and Democracy Party of Kachin State,5f3f9035c749de0ddc9de054,9.131537625%
Injangyang Constituency 1,Unity and Democracy Party of Kachin State,5f3f9035c749de0ddc9de054,32.539682540%
Chipwi Constituency 2,Unity and Democracy Party of Kachin State,5f3f9035c749de0ddc9de054,55.850815851%
Bhamo Constituency 1,Unity and Democracy Party of Kachin State,5f3f9035c749de0ddc9de054,2.186740715%
Kawhmu Constituency 2,United Democratic Party,5f3f9035c749de0ddc9de03c,0.335750739%
Kawhmu Constituency 1,United Democratic Party,5f3f9035c749de0ddc9de03c,0.450630616%
Banmauk Constituency 2,United Democratic Party,5f3f9035c749de0ddc9de03c,1.934219496%
Banmauk Constituency 1,United Democratic Party,5f3f9035c749de0ddc9de03c,1.178836146%
Zigon Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,55.585396941%
Zigon Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,60.481990153%
Zalun Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,39.091598710%
Zalun Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,37.555136739%
Ywangan Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,47.819749282%
Ywangan Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,28.774283833%
Yinmarbin Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,21.403803720%
Yinmarbin Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,19.118341519%
Yesagyo Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,35.298792603%
Yesagyo Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,33.660834842%
Yenangyaung Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,29.147992696%
Yenangyaung Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,29.160784696%
Yegyi Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,30.166039572%
Yegyi Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,34.034896051%
Yedashe Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,38.694765211%
Yedashe Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,41.282722013%
Yebyu Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,22.248995984%
Yebyu Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,21.807768033%
Ye-U Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,26.177183188%
Ye-U Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,30.447439353%
Ye Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,15.964480940%
Ye Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,19.292249731%
Yankin Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,23.466114847%
Yankin Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,18.048135145%
Yamethin Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,55.865054345%
Yamethin Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,51.583750555%
Wuntho Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,37.930461743%
Wuntho Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,30.874006810%
Wundwin Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,41.201378778%
Wundwin Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,34.529110887%
Wetlet Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,15.381398461%
Wetlet Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,22.394499597%
Waw Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,25.347779210%
Waw Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,26.946078311%
Wakema Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,39.192508242%
Wakema Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,30.535406310%
Waingmaw Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,14.878410989%
Waingmaw Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,19.285946423%
Twantay Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,25.669275637%
Twantay Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,32.801507961%
Tsawlaw Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,36.523125997%
Tsawlaw Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,37.948350072%
Toungup Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,27.372119242%
Toungup Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,22.059366567%
Tonzang Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,24.524590164%
Tonzang Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,19.200466881%
Tilin Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,29.512209336%
Tilin Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,42.060781476%
Tigyaing Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,29.575208914%
Tigyaing Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,33.584750411%
Thongwa Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,36.595832097%
Thongwa Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,36.846933524%
Thingangyun Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,12.355514193%
Thingangyun Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,13.119279089%
Thegon Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,32.699103017%
