Seat Name Mm (group),% of Total Valid Total Votes
ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,1.255421695%
ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၁,1.032112205%
ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,1.024508343%
ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၉,1.067964913%
ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၈,1.253641096%
ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,1.066051495%
ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,0.686634552%
ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,1.344455780%
ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၄,1.547124437%
ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,1.064868580%
ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,1.176295043%
ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,1.421469787%
ရှမ်းပြည်နယ် မဲဆန္ဒနယ် ၁၂,0.073921825%
ရှမ်းပြည်နယ် မဲဆန္ဒနယ် ၁၁,0.068322693%
ရှမ်းပြည်နယ် မဲဆန္ဒနယ် ၁၀,0.196027729%
ရှမ်းပြည်နယ် မဲဆန္ဒနယ် ၉,0.941069239%
ရှမ်းပြည်နယ် မဲဆန္ဒနယ် ၈,0.393836057%
ရှမ်းပြည်နယ် မဲဆန္ဒနယ် ၇,0.617465141%
ရှမ်းပြည်နယ် မဲဆန္ဒနယ် ၆,0.374739240%
ရှမ်းပြည်နယ် မဲဆန္ဒနယ် ၅,0.728895755%
ရှမ်းပြည်နယ် မဲဆန္ဒနယ် ၄,1.261074784%
ရှမ်းပြည်နယ် မဲဆန္ဒနယ် ၃,0.875739114%
ရှမ်းပြည်နယ် မဲဆန္ဒနယ် ၂,0.857053205%
ရှမ်းပြည်နယ် မဲဆန္ဒနယ် ၁,2.195465741%
ရန်ကုန်တိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,1.159124095%
ရန်ကုန်တိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၁,0.707873069%
ရန်ကုန်တိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,1.089178526%
ရန်ကုန်တိုင်းဒေသကြီး မဲဆန္ဒနယ် ၉,1.414036098%
ရန်ကုန်တိုင်းဒေသကြီး မဲဆန္ဒနယ် ၈,1.470782824%
ရန်ကုန်တိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,1.635261997%
ရန်ကုန်တိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,0.942189896%
